,Home Team Possession %,Away Team Possession %,Home Team Pass Success %,Away Team Pass Success %,Home Team On Target Shots,Away Team On Target Shots
6059,63,37,82,72,4,7
8021,37,63,76,88,2,7
8543,43,57,63,73,2,1
7788,36,64,75,85,4,5
813,39,61,74,82,3,3
8474,60,40,91,82,5,2
3974,55,45,87,80,7,2
11456,43,57,84,86,8,6
8142,63,37,82,75,3,3
10193,56,44,89,86,7,4
11876,41,59,72,83,2,1
8697,61,39,86,77,5,2
6107,35,65,75,87,2,2
6275,74,26,90,71,10,2
2598,57,43,83,78,7,5
3348,68,32,77,54,2,0
2338,62,38,89,81,1,0
1207,46,54,81,86,3,6
4011,40,60,66,76,1,7
3466,41,59,74,80,11,4
452,38,62,73,83,4,2
3171,38,62,65,80,5,0
10039,63,37,84,78,7,8
928,60,40,75,66,7,4
10486,59,41,73,67,4,2
6811,49,51,91,90,4,5
7383,56,44,73,67,5,4
6009,62,38,80,66,2,4
5509,32,68,70,84,0,8
3847,66,34,78,57,4,3
2674,30,70,62,83,6,5
7715,35,65,60,81,3,4
3784,39,61,63,78,3,3
11715,50,50,91,92,5,6
3370,34,66,72,86,7,7
242,56,44,76,65,3,3
3038,58,42,86,79,3,6
9067,68,32,90,75,10,2
1451,46,54,75,76,5,1
2014,56,44,87,82,7,10
11459,46,54,83,84,4,4
8264,51,49,83,81,4,2
9516,66,34,86,74,7,3
10741,41,59,74,83,4,4
5942,24,76,63,89,2,4
3407,51,49,76,77,5,4
1078,70,30,89,73,6,2
7486,58,42,88,81,6,4
7690,37,63,72,85,0,3
9544,67,33,89,68,4,4
5491,21,79,67,91,3,10
9234,62,38,87,79,12,2
11131,48,52,79,76,4,8
10892,50,50,65,68,2,4
2037,58,42,82,74,2,5
4246,63,37,86,77,6,2
3055,74,26,87,60,12,2
1173,72,28,92,78,14,0
11025,69,31,90,75,14,1
10041,54,46,76,73,2,4
96,65,35,83,72,2,1
11938,55,45,85,76,4,4
710,51,49,77,77,3,4
1223,63,37,85,75,3,0
9972,39,61,59,74,7,3
11225,56,44,87,82,3,3
10225,49,51,84,86,5,1
2288,44,56,80,85,4,7
4745,55,45,79,71,4,1
6195,33,67,79,89,3,10
9439,43,57,71,80,7,3
10327,36,64,82,88,2,8
1859,49,51,81,85,3,8
8297,50,50,73,74,8,5
9758,46,54,69,73,5,3
5592,57,43,79,69,4,1
6985,59,41,75,64,6,3
10609,70,30,88,68,0,3
2335,41,59,80,84,6,1
4126,45,55,67,75,5,8
6466,25,75,65,89,2,6
880,31,69,75,88,3,4
3073,50,50,78,82,4,4
5955,45,55,78,81,6,6
6533,37,63,76,90,4,4
2784,53,47,76,71,5,5
2780,59,41,80,77,4,6
7375,39,61,65,78,3,6
3519,62,38,81,69,7,5
1098,73,27,91,73,9,3
5356,49,51,81,81,10,0
7641,50,50,74,73,2,3
5599,63,37,81,69,5,4
6524,63,37,91,82,3,2
9656,56,44,69,58,4,2
8026,73,27,92,77,5,3
1124,44,56,80,83,3,5
5122,44,56,84,86,4,3
391,50,50,78,83,4,3
7475,38,62,60,76,2,4
3734,33,67,72,88,1,10
6144,46,54,78,82,6,3
7982,37,63,70,80,3,1
4344,51,49,82,79,4,4
8091,39,61,77,83,6,6
1380,54,46,79,74,5,3
11766,53,47,78,77,2,1
3414,56,44,80,73,3,6
10512,53,47,86,84,5,4
6760,43,57,83,88,2,4
8317,53,47,79,78,4,6
4474,61,39,80,75,7,5
2103,40,60,84,84,5,2
4662,61,39,81,62,3,4
4706,54,46,81,82,2,0
10083,65,35,86,74,5,4
12018,41,59,73,82,0,3
4406,65,35,84,76,4,3
133,56,44,83,79,10,4
6353,32,68,76,89,3,7
2717,33,67,70,84,5,6
3238,55,45,86,82,8,7
10565,63,37,82,67,2,4
7865,52,48,75,70,5,3
1230,65,35,88,76,7,3
9528,42,58,68,82,2,3
1672,60,40,83,74,8,4
6167,31,69,71,86,2,3
4597,66,34,85,71,5,8
363,43,57,76,81,2,4
8497,51,49,83,80,4,3
336,53,47,87,83,4,6
8617,49,51,85,83,5,3
7781,38,62,76,85,2,4
8843,60,40,88,74,6,3
6576,47,53,73,75,4,3
5189,46,54,78,83,1,8
6895,41,59,83,86,3,5
2924,48,52,73,76,1,1
9485,50,50,76,74,7,1
9023,68,32,84,70,6,2
9560,66,34,86,69,1,3
4775,51,49,77,74,7,1
4243,40,60,68,77,6,1
9015,48,52,80,78,2,4
652,52,48,80,76,7,2
11937,66,34,84,74,3,4
5609,53,47,70,66,4,2
4363,62,38,89,80,4,4
7439,53,47,78,78,6,3
11575,53,47,84,83,2,5
10693,60,40,83,68,3,4
10522,53,47,82,77,2,9
2029,32,68,67,86,4,10
10226,58,42,80,75,1,5
7320,47,53,84,85,4,3
5794,57,43,76,72,2,4
1184,52,48,79,78,2,7
7091,54,46,67,60,2,8
4159,46,54,81,84,1,6
794,45,55,75,80,5,2
7316,49,51,77,78,2,5
5624,62,38,87,80,11,2
396,31,69,79,91,6,5
2364,39,61,72,80,5,5
4748,51,49,85,86,3,5
11256,64,36,84,71,4,1
11690,72,28,87,68,8,1
6613,44,56,73,79,2,3
7793,73,27,91,82,2,5
8826,35,65,75,88,7,7
7235,51,49,87,83,3,7
10855,39,61,66,82,2,4
10629,52,48,84,83,6,0
4277,35,65,61,81,4,6
3128,52,48,78,77,4,6
7824,53,47,75,72,5,6
11857,66,34,83,67,2,3
11894,47,53,83,82,2,5
9754,54,46,78,75,2,1
7991,30,70,77,92,3,8
5583,57,43,72,67,8,4
11802,60,40,78,67,4,4
445,45,55,81,83,2,3
6106,50,50,79,77,5,3
5826,65,35,92,84,5,1
11120,49,51,76,75,9,2
5889,75,25,87,63,8,2
6473,51,49,85,85,5,4
6103,63,37,88,80,8,3
7617,59,41,62,47,1,1
6178,27,73,64,86,3,15
10307,33,67,73,88,1,9
3228,40,60,72,81,6,5
8205,49,51,82,83,5,9
1616,63,37,89,78,5,4
3946,41,59,73,83,7,7
1034,68,32,88,68,9,5
424,69,31,90,71,7,1
11626,45,55,81,83,1,6
10840,61,39,78,73,3,4
376,50,50,80,84,5,5
1473,47,53,79,81,10,2
6482,53,47,77,72,7,6
956,58,42,79,75,7,3
1783,48,52,78,83,6,5
3980,60,40,87,77,8,4
2775,27,73,62,81,2,4
11065,46,54,76,80,8,1
1467,53,47,80,77,2,2
1236,50,50,86,86,3,3
961,58,42,90,86,2,2
2437,47,53,84,85,4,1
5415,66,34,84,67,6,2
11418,54,46,80,79,6,2
2482,49,51,88,82,11,2
4056,37,63,70,83,1,10
7188,52,48,84,82,3,6
1733,35,65,70,83,3,4
3813,61,39,80,66,6,4
3806,39,61,79,86,1,2
6433,55,45,86,82,7,2
4854,65,35,79,56,5,3
736,65,35,86,76,2,2
11815,51,49,80,84,6,4
7492,49,51,76,78,0,4
3124,52,48,83,82,1,4
11803,35,65,78,88,2,6
9585,58,42,88,77,8,5
8667,33,67,66,84,2,3
5778,35,65,68,84,4,4
9480,72,28,92,76,7,2
1978,45,55,69,78,1,4
10836,53,47,76,73,3,5
4280,59,41,77,68,6,2
6926,39,61,67,80,1,6
6636,33,67,66,80,3,1
2201,34,66,78,89,3,9
3942,51,49,80,79,5,7
7546,53,47,73,77,2,7
11570,49,51,78,76,3,4
795,45,55,74,77,6,5
6296,49,51,85,85,4,4
6425,39,61,74,83,4,4
7553,59,41,85,76,3,5
11993,64,36,83,75,4,2
7452,54,46,75,71,2,3
144,59,41,82,75,6,4
7037,53,47,82,78,4,7
2819,39,61,56,70,3,0
9287,57,43,73,65,6,1
6127,55,45,85,79,8,9
1615,46,54,87,89,6,2
70,55,45,84,80,5,6
5669,44,56,82,85,2,4
8823,49,51,77,77,8,3
5833,71,29,80,52,8,1
11307,49,51,84,80,2,3
9842,42,58,78,87,1,6
7119,40,60,65,79,3,6
4115,31,69,72,84,2,5
4952,64,36,85,69,6,1
1985,50,50,77,72,4,3
3483,60,40,88,79,12,1
9519,47,53,77,78,5,2
7193,61,39,84,66,4,2
1718,44,56,79,82,9,3
4319,64,36,89,79,3,4
2196,35,65,73,87,1,7
10428,48,52,72,74,6,2
7376,37,63,74,87,4,6
4642,54,46,78,73,6,2
871,55,45,81,78,6,6
6134,31,69,74,89,3,8
8420,48,52,77,81,3,2
43,46,54,80,83,5,7
4106,19,81,56,91,0,8
9624,47,53,74,76,3,2
5851,30,70,66,88,7,7
3451,69,31,90,77,4,5
1847,46,54,81,82,6,7
6069,54,46,83,79,6,5
6454,23,77,66,90,1,10
8584,57,43,65,52,4,2
2931,57,43,69,59,9,4
10265,50,50,77,76,4,5
4513,30,70,71,91,2,2
301,40,60,70,79,7,1
9558,45,55,69,75,9,1
10238,52,48,78,74,5,2
9050,54,46,87,84,7,2
5273,53,47,78,76,7,4
2249,42,58,81,88,7,6
8020,42,58,72,78,1,2
324,50,50,82,81,6,5
8073,55,45,85,80,10,5
7640,45,55,75,81,4,6
1608,66,34,85,70,12,2
832,65,35,88,78,6,3
8633,51,49,82,82,6,3
7403,50,50,78,78,3,3
9180,57,43,85,80,4,3
10289,52,48,81,74,4,1
7620,41,59,72,78,3,3
11836,59,41,85,76,9,4
8237,36,64,78,88,7,6
10278,69,31,86,64,7,1
1327,53,47,87,80,3,4
4171,49,51,82,84,4,6
1852,52,48,79,74,2,3
7997,61,39,84,75,9,2
1544,49,51,83,87,3,4
5358,66,34,90,77,10,3
9254,71,29,89,75,4,4
6155,37,63,82,91,8,9
7734,33,67,56,75,1,6
2825,56,44,68,65,4,1
3827,51,49,76,75,5,3
1989,52,48,77,78,5,2
7631,30,70,59,82,3,4
5225,31,69,59,83,1,4
6496,65,35,86,71,3,5
2739,42,58,68,77,6,6
6727,47,53,74,78,1,1
9258,60,40,77,65,4,3
2948,23,77,57,87,3,5
1650,45,55,82,82,6,3
290,40,60,72,83,6,1
2112,74,26,91,71,8,3
11701,22,78,70,91,3,1
6770,67,33,83,67,10,5
8811,48,52,69,68,5,1
8818,62,38,83,68,2,3
7731,62,38,82,62,4,4
10782,50,50,69,71,6,2
4834,39,61,76,84,5,5
6311,56,44,78,74,2,3
3234,54,46,76,75,3,3
9773,42,58,71,77,5,7
10200,32,68,65,88,1,2
4994,40,60,64,83,5,2
8467,52,48,71,67,7,4
8571,55,45,73,68,3,2
5774,53,47,73,73,5,6
4350,43,57,66,67,7,6
9831,40,60,72,76,4,4
3830,47,53,79,80,5,9
932,67,33,88,67,9,2
10760,41,59,63,72,5,3
9442,43,57,79,81,7,0
4519,48,52,77,80,4,6
7305,48,52,81,83,0,11
5321,74,26,89,67,10,3
8558,62,38,84,74,3,1
10935,46,54,82,84,4,5
12060,56,44,83,75,6,4
8045,52,48,75,76,2,4
3588,48,52,79,79,4,6
4806,56,44,81,75,7,3
8863,54,46,76,72,5,2
322,49,51,83,85,3,4
4198,40,60,78,83,0,4
1614,63,37,89,79,2,4
5156,29,71,68,88,4,5
619,56,44,79,78,2,2
1370,39,61,82,89,0,9
999,57,43,88,81,7,3
9039,50,50,68,67,6,1
4608,39,61,82,88,9,2
2962,40,60,77,86,5,3
2416,46,54,80,85,3,6
701,44,56,76,81,3,3
7497,45,55,83,85,3,5
5962,57,43,82,74,5,4
3339,61,39,85,75,5,3
7591,49,51,85,84,3,4
80,47,53,77,80,6,6
10711,56,44,84,78,8,4
6763,41,59,74,82,6,5
2283,66,34,90,78,8,1
2198,60,40,89,85,10,3
741,41,59,76,86,4,5
3357,57,43,88,79,7,6
1013,53,47,81,76,8,3
2610,63,37,87,79,5,8
4654,38,62,72,85,1,4
1484,46,54,81,85,7,4
6564,60,40,89,81,3,1
8301,64,36,87,66,2,4
1081,32,68,69,84,4,6
4133,63,37,87,79,2,0
2971,58,42,78,75,1,2
3569,61,39,80,64,14,2
121,36,64,61,80,2,4
6710,62,38,75,60,1,3
581,55,45,89,85,7,1
7937,38,62,69,84,5,7
8482,61,39,83,72,6,2
8459,41,59,78,86,11,4
8995,26,74,76,92,6,5
5111,43,57,75,80,4,2
7871,48,52,72,74,4,3
11430,37,63,78,88,1,6
175,48,52,80,77,6,2
2677,79,21,92,65,13,1
7381,60,40,87,80,1,4
2689,76,24,90,70,7,2
9144,35,65,71,84,2,2
3147,55,45,80,78,5,2
1697,50,50,86,84,5,4
3329,43,57,77,81,1,0
3943,47,53,73,76,8,5
6787,63,37,87,76,6,4
7627,59,41,77,64,3,5
10368,42,58,73,77,3,5
5684,51,49,87,87,3,3
11195,53,47,79,79,5,4
5656,65,35,85,72,7,8
10966,67,33,89,76,8,2
5869,70,30,85,61,3,0
7051,73,27,82,46,3,4
3546,51,49,77,75,6,1
10405,44,56,72,78,3,8
9977,58,42,83,74,6,0
11393,40,60,60,74,3,3
1122,30,70,70,89,3,4
6662,79,21,92,71,5,0
5376,51,49,78,79,4,2
3256,42,58,70,75,5,2
1229,52,48,82,84,8,2
5404,46,54,78,80,2,6
8383,62,38,88,78,8,2
9615,44,56,75,83,5,4
1933,55,45,88,86,6,3
7762,56,44,82,77,5,5
1434,68,32,89,77,7,2
9716,54,46,76,74,1,2
3935,60,40,85,79,5,6
8411,53,47,80,81,6,4
1277,81,19,90,57,10,1
11934,35,65,77,89,7,5
5104,28,72,62,88,3,4
9927,71,29,89,70,5,3
7093,64,36,77,66,2,6
1009,66,34,85,71,8,5
9308,77,23,92,74,8,3
876,75,25,88,55,9,0
5479,49,51,67,70,5,2
11551,54,46,80,74,5,1
737,57,43,76,73,3,7
10740,50,50,80,80,5,6
305,63,37,86,75,3,4
6032,45,55,76,82,4,9
9376,64,36,91,87,12,2
6486,72,28,88,60,2,1
471,46,54,73,75,3,3
9340,69,31,85,64,8,0
10536,59,41,83,76,4,7
11727,57,43,82,79,5,5
10503,52,48,80,79,3,5
1477,40,60,80,88,0,4
11669,59,41,78,67,5,6
9705,50,50,75,74,3,2
2925,47,53,78,82,4,8
4764,46,54,74,78,5,3
2299,55,45,83,79,4,6
5877,64,36,81,66,11,2
10607,60,40,79,67,5,5
2552,40,60,79,86,2,3
2476,57,43,80,74,3,6
5940,62,38,85,75,8,6
2659,44,56,76,80,4,3
10618,68,32,93,82,5,6
866,44,56,78,83,3,3
238,41,59,77,81,3,2
4298,59,41,87,84,10,3
903,49,51,74,75,2,4
5234,48,52,80,79,6,1
5152,44,56,74,81,3,1
6364,65,35,86,74,5,4
7577,70,30,82,59,4,4
1265,60,40,83,78,4,4
9697,36,64,70,83,4,4
11461,51,49,81,79,4,5
8241,46,54,73,74,6,6
2668,22,78,59,88,1,3
2945,54,46,63,65,4,9
902,65,35,83,70,2,2
575,59,41,88,82,2,2
6297,75,25,90,74,7,2
1995,53,47,90,86,11,3
11871,51,49,74,72,3,5
9342,65,35,83,74,4,2
11262,61,39,77,68,3,3
6706,45,55,81,86,9,5
2226,43,57,76,82,5,5
